feature_id;cluster;feature_name;visual_definition;example_reference;notes
hn_4;hands;people holding hands;A gesture where two people grasp each other's hands, intertwining them;4aa4f7bb3a8844b2b87c75b3ce8fcf2f_ittgwo_with_caption;
hn_5;hands;distorted hands;The hands appear misshapen, disproportionate, or anatomically incorrect;1b69a26ba0b447bba297387186f29056_with_caption.png;"Contains minor distortions; during annotation, zooming was often utilized to detect and analyze imperfection."
pa_0;props/attributes;ladder;An object for reaching high surfaces;daa50fbbefaf45928aa305440946e4da_with_caption;
pa_1;props/attributes;flame;The visible, glowing part of a fire;c87fbee2deda4018aa0beef3bb2a5c0b_with_caption;
pa_2;props/attributes;box;A rectangular object that can contain other items;adc7633017734c24aa99a1090f750149_with_caption;Can relate to a small box, or even a large box that the subject is sitting in, which is clearly not a booth or chair.
pa_3;props/attributes;brand/logo;A symbol that represents an existing company;ba4669cbafcb4e02b5ad2beb2e0f797d_with_caption;Only should be tagged if the brand is existent.
pa_4;props/attributes;bag;An object that can be worn to carry other small items;80584d0260a44407a86d9fe5b92ef2aa_with_caption;Includes handbag, backpack, clutch, purse, shopper, etc.
pa_5;props/attributes;suitcase;A container with handles or grips that is used for traveling;7160c815bf574310a04634f68a6f9d69_with_caption;Also includes e.g. a suitcase for work purposes.
pa_6a;props/attributes;basketball;A round orange object that is used in sport;5502c0871a444869819e0db5a814d5f7_with_caption;Could also include (sports) ball in the broadest sense.
pa_6b;props/attributes;bike;A two wheeled vehicle used for transport;4062a9bd358e4750badaa07499e42f1d_ittgwo_with_caption;Includes also (non-electric) (kids) scooter or step.
pa_6c;props/attributes;skateboard;A short narrow board with four wheels, on which a subject can ride;9e452302c3e34048a50e901e1fbb782e_with_caption;Also includes pennyboard or snowboard.
pa_6d;props/attributes;hula hoop;A circular object, that can rotate around the body;7e727c60b9f04e6d94206fb36a978b2c_with_caption;Should be annotated as hula hoop if there is clearly a circular shaped tube present in the image, even it's not fully visible.
pa_6e;props/attributes;boxing gloves;Protective gloves used during boxing training and fights;5e47bb8876184b13891204b7b74d45a9_with_caption;Does not include other sorts of gloves.
pa_7;props/attributes;book;A set of printed that contain information;2b0dda7c497b46ec8ec05afc0d4723d5_ittgwo_with_caption;If the book does not have a hard cover it is still considered a book, even if its a stack of printed pages.
pa_8;props/attributes;musical instruments;An object for producing musical sounds;5c1d4a54c0a34f31912f9699acbcc46e_with_caption;Includes e.g., (electric) guitar, piano, cello, keyboard, etc.
pa_9;props/attributes;symbol;A thing that represents or stands for something else;7c5af7bbb8ef4a42b329f51a961cd3c7_with_caption;Covers the representation of latent symbolism, e.g. a heart, but not a symbol as in hand signs.
pa_10;props/attributes;sign;A plaque that conveys information, meaning, or direction;2d1299161e28453197d4d9000b4891af_with_caption;Should be tagged if the sign does not contain text but is still a sheet or plaque held up by the subject in the image.
pa_11a;props/attributes;knife;A blade fixed into a handle, used for cutting;58da038c3f8d4417af475da7d8805c52_ittgwo_with_caption;Can be any sort of knife regardless of its size. Would also include other blade-like objects, such as a sword.
pa_11b;props/attributes;cooking pot;A deep, round container with handles used for cooking;2229d77e21bb4b0d814ddf492f642bc9_ittgwo_with_caption;Can be either worn by the subject in the image (e.g. on their head), or placed on top of a surface.
pa_11c;props/attributes;drink;A liquid substance consumed for hydration, nourishment, or enjoyment;9c464ee756074211b568d94c0fe3735a_with_caption;Pertains to the container that a drink is held in, does not clearly have to contain the drink to be annotated as 'drink'.
pa_11d;props/attributes;food;A substance consumed for nourishment;4d782540985740199b13517e889341f0_ittgwo_with_caption;
pa_12;props/attributes;image of a person;A photograph of a subject other than the one originally pictured;1a33b20964dd4ac491a03ca9fb698657_with_caption;Should either be a printed or digital image of another subject which is clearly not present in the photo booth with the main subject.
pa_13a;props/attributes;computer;An electronic device equipped with a keyboard, either a desktop or laptop ;861f1dee7d034b7cb12248eec758b6c7(1)_with_caption;
pa_13b;props/attributes;microphone;A device for recording and amplifying sound;22b55a58f2464e6c828b7948baf90360_with_caption;Can be either a stand-alone microphone or attached to a headset.
pa_13c;props/attributes;camera;An object capable of photographing;5b304525c6cc464eaf1b4a4c2bb343be_with_caption;Only includes non-phones, if a picture is taken with a phone it should be labeled as phone, not camera. So digital or professional photo cameras only.
pa_13d;props/attributes;headphones;A wearable audio and recording device;1ec0acd3f0754e2aa82b1dcd0a381ccd_with_caption;Includes headphones and (wireless) earbuds.
pa_13e;props/attributes;phone;An electronic device with which to contact others;1a562c236d2c4fc8bc4248781a3d1cd3_with_caption;Includes both modern (smart) and retro representations of a phone.
pa_13f;props/attributes;tablet;A portable electronic device, combines functions of a computer and a smartphone;0b1d1b09637d4b4bb333d735342b723c_with_caption;Phone but represented larger, should not contain a keyboard but a clear screen at least.
pa_14;props/attributes;net;A woven structure made of interconnected threads;42ed64fe810244ec8a09bdc7017b9d75_with_caption;If this pattern is e.g. woven into a chair, it should still be separately tagged as net.
pa_15;props/attributes;table;A flat, horizontal surface supported by legs;34a9bfcb80b040adbf2b01c939a60c10_with_caption;Legs can be cut out of the image to be annotated as table, if there's a flat surface with items placed on top, we assume it's a table.
pa_16;props/attributes;hay;Yellowish dried grass, often comes in barrels;12e875f41264408a8a363bcbff8df69d_with_caption;
pa_17;props/attributes;cigarette;A thin, cylindrical roll of finely cut tobacco for smoking;7f6e91cae14d4105ad8386ead8895603_with_caption;
pa_18;props/attributes;letter;A piece of text written on paper, potentially enclosed in an envelope;6e74e5aaba5e4b0ca07258a26b7f9453_with_caption;Also includes solely the envelope without the presence of the letter.
pa_19;props/attributes;religious expressions;An object or symbol that holds specific religious significance;a6fc98f9bed34e66bc7c8fd53492e513_with_caption;Does not include religious or cultural attire, only separate symbolism.
pa_20;props/attributes;ID-card;An official document for identification;4a7e2b60153a4d1aa331a73552c15fdb_with_caption;
pa_21a;props/attributes;bench;A long, sturdy seat;3c8068803de54fee96a6d8b4b4bdd0b0_with_caption;Should not have a backrest.
pa_21b;props/attributes;bed;A piece of furniture used for sleeping or resting;2c115ca1096b4ddd9fea3ea4a9df888d_with_caption;Should clearly have e.g. sheets, case or pillow.
pa_21c;props/attributes;chair;A piece of furniture for sitting;0a4c8707ecab49c6b87309778db35495_with_caption;Takes chair in the broadest sense, includes couch, sofa, chair, stool, pouf, lounge chair, rocking chair. Does not include bench or bed.
pa_22;props/attributes;frame in frame;An image or a structural border within another;0f36842d844c4293a5c6c6a60d455417_with_caption;Can be a picture or mirror frame, or just an item which is frame-shaped.
pa_23;props/attributes;blood;A red fluid that circulates within the human body;9021f01aa71b4b2c9d7e0a6addda66d7_with_caption;
pa_24;props/attributes;unidentifiable object ;An object which is unclear to the naked eye;0bea9ec5ab8547f1b38d0c01930b780d_with_caption;Includes any object which is clearly present in the images but too ambigiuous to assume.
pa_25;props/attributes;animal;A living organism belonging to the animal kingdom;2e3909776d8e4611a6f8b5d661b9d762_ittgwo_with_caption;Includes an inanimate animal (e.g. plushie, toy)
pa_26;props/attributes;helmet;A protective device worn on the head;0ac39f79543c4a50a27c7d85341783e6_with_caption;Includes sports and astronaut helmet.
pa_27;props/attributes;gun;A firearm;0f989807e3234af4a11b582c3acbd469_with_caption;
pa_28;props/attributes;watch;An accessory for the wrist to tell the time;0cc120b78da14a40bf83ad61212b785d_with_caption;If based on color and thickness of the band it is similar to a watch, it is safe to tag it as watch, even if the clock is not as evident.
bt_0;body types;non-identifiable gender;Does not include eyes. Although the face is clearly deformed, it is possible to argue that the subject represents human features. It includes significant deformations, yet the face still retains anthropomorphic characteristics;3b25b37cea3c42a799d127f7e6abe03d_with_caption;
bt_1;body types;adiposity;The state of being heavier-set, above average weight;1a33b20964dd4ac491a03ca9fb698657_with_caption;
bt_2;body types;skinny;The state of being thinner-set, below average weight;2db7073777b84e4caea50b5e54bcd37f_with_caption;
bt_3;body types;muscular;Having well-developed, well-defined muscles;3e5d756ee8e24ae2a0514b9a75d7a961_with_caption;
bt_4;body types;sagging skin;Loose skin that has little to no definition;65a05c676ba14874a2528d8a29281fbc_with_caption;
bt_5;body types;wound/scar ;A mark on the body showing the natural healing and replacing of lost skin;5c1d4a54c0a34f31912f9699acbcc46e_with_caption;
bt_6a;body types;distorted skin;Skin that is pulled, twisted out of its original shape;8d424773d6eb4ccb9a2aa21102c0d0a3_with_caption;Includes only deformed skin.
bt_6b;body types;distorted body;A body that is pulled, twisted out of its original shape;2a0006715a3348f2bd6b392cbbd6cd08_ittgwo_with_caption;Deformation of body parts only is noted. 
eg_0a;eyes/gaze;downcast eyes;The eyes are directed downward, not making eye contact with the camera;1a562c236d2c4fc8bc4248781a3d1cd3_with_caption;
eg_0b;eyes/gaze;looking to the side;The eyes are turned to the side, and the gaze directed clearly away from the camera;0fbaa332086e4a29b2ef80d4efeaae95_with_caption;
eg_0c;eyes/gaze;looking up;The eyes are directed upward, with the gaze clearly focused above the horizontal line of sight;3f208b86781e4c948ceaf29874a22b08_with_caption;Subject must clearly look above themselves.
eg_1;eyes/gaze;eye contact;The eyes are pointed directly at the camera, with the gaze clearly focused on the viewer;2b0dda7c497b46ec8ec05afc0d4723d5_ittgwo_with_caption;The recreated images resemble a photobooth, where, whenever possible, the AI replicates the appearance of a subject as if photographed inside such devices
eg_2;eyes/gaze;eyes distorted;One or both eyes appear abnormal or altered in shape, size, or position, such as being stretched, widened, or exaggerated;1c21ed17595141cc8b3dce8ff45392a2_with_caption;Include minor distortions, as they may appear significant when examined under zoom
eg_3;eyes/gaze;eyes closed;The eyelids are fully shut, covering the eyes with no visible openings;78c04cbd829943cab88e31afff1c7b85_with_caption;
fa_0a;face;uninterpretable;The face is so distorted or abstracted that it no longer resembles a recognizable human face;0e9c5eed18894571847ee895642803ba_with_caption;Includes highly deformed faces, the malformations are so prevalent that nothing of the face is recognizable.
fa_0b;face;distorted face;The face where features such as the nose, mouth, and cheeks are altered, stretched or exaggerated in shape or proportion;0deb04c65d54445eb15842940f22a4fd_with_caption;Does not include eyes. Although the face is clearly deformed, it is possible to argue that the character represents human features. It includes significant deformations, yet the face still retains anthropomorphic characteristics
fa_1a;face;covering face;The hands are placed in front of face, either partially or fully hiding it;0789f3fab0534165b77c55fbc2688533_with_caption;The face or the mouth should be barely noticeable.
fa_1b;face;mouth covered;The mouth is obscured or restrained by an object, such as tape, cloth, or another material, preventing it from being visible;3a27ced13c974370a7691d450d4c93cc_with_caption;
fa_2a;face;smiling with teeth;A facial expression where the mouth is open, showing visible teeth as part of the smile;2c297c1a24014f0e87246da1f759a4d3_with_caption;
fa_2b;face;smiling without teeth;A facial expression where the mouth is curved upward in a smile, but the teeth are not visible;0c47bed74c5a4134804da4cd087a0c35_with_caption.png;
fa_3;face;big forehead;The forehead that appears larger than typical, often in proportion to the rest of the face;0b1d1b09637d4b4bb333d735342b723c_with_caption;Includes enlargement that is pronounced and clearly visible.
fa_4;face;duckface;A facial expression where the lips are pursed and pushed outward;2d029a7f07774056b621b9f5d54c1040_with_caption;
ea_0;emotion/affect;happy;The subject depicted in the photo seems to express positive emotions;1da807c6ebc04aceaa53730a5c4a32c4_with_caption;
ea_1;emotion/affect;sad;The subject depicted in the photo seems to express negative emotions;1e2a8153ee55499db85c6d1cf62ee403_with_caption;
